English,ISL-Gloss
Every seat was full., every seat full every
Some children are swimming in the sea., some child some sea swim in
The Chinese are a hard-working people., chinese hard working people working
Are you unlucky?, you unlucky
You don't sound too sure., you too sure too sound too no
I know what I'm supposed to do., i i know suppose do what
It was a huge relief., it huge huge relief
My sister washes her shoes every Sunday., my sister her her shoe every sunday wash
I wonder what's inside the box., i box wonder what
They released the prisoner., they prisoner release
He kept staring at me., he me keep star at
Are you able to understand Tom?, you able understand tom understand
I miss you already., i you already miss
Don't write in red ink., red red ink write in no
You cannot be serious., you serious no
There was no bathroom., there no bathroom be
Anyone can learn French., anyone french learn
You look smart., you smart look
Why should I even care?, i even care why
I don't understand what's bothering you., i you understand bother what no
I can't see the movie., i movie see no
You must respect your elders., you your your elder respect
Don't make the same mistake again., same same mistake again make no
I have a surprise for you guys., i surprise for you guy have
He's two years older than me., he year old than two year me
You need to wake up., you need wake up
Get your mother., your your mother get
I love music., i music love
What's your excuse?, your excuse what
Are you alone?, you alone
That's their strategy., that their their strategy
No one works there anymore., no one no there anymore work there
I never read that book., i that book read no
I know it was you., i it you know
Tom will kill me., tom me kill
I'm sort of an introvert., i sort of introvert
He didn't have time to read., he time read have read no
I'm faithful to my wife., i faithful to my my wife
Cut the cloth diagonally., cloth diagonally cut
We must be cautious., we cautious
"Can you speak a little louder, please?", you little louder little louder speak
He greeted me with a smile., he me smile greet
Tom lives on a boat., tom boat live on
The installation is now complete., installation complete now
She complained to him about the food., she him food complain to
It all happened quickly., it all quickly happen quickly
I love you a lot., i you lot love
These are my students., these my my student
He zipped his bag shut., he his bag zip shut
You wouldn't understand. It's a girl thing., you it girl thing understand no
I'm so bored right now., i so bored so right now
I love this band., i this band love
I took care of it for you., i care it for you take
Brad Pitt is an actor., brad pitt actor
I don't know what they want., i they know want what no
I wish I were clever., i i clever wish
People believe what they see., people they believe see what
My house is tiny., my house tiny
Please speak in a louder voice., loud loud voice speak in
They're right behind you., they right you
I talked with her for an hour., i her hour talk with
We are men., we men
Where can we talk privately?, we privately talk privately where
The equations are very complicated., equation very complicate very
Were your mother and father home?, your your mother and father home
I have your schedule here., i your your schedule here have
Let me repair it., me it let repair
I may win if I'm lucky., i i lucky win
She bought him a camera., she him camera buy
Do you like your classmates?, you your your classmate like
Do you have any allergies?, you any allergy have
She doesn't have any enemies., she any enemy have no
I don't know anyone here., i anyone here know no
Don't drag me into this., me this drag no
I'm sick of eating fish., i sick of fish eat
I would go if I were you., i i you go
Classes will resume Monday., classes monday resume
This book goes on the top shelf., this book top this top shelf go on
Do you want to see my translations?, you my my translation want see
I thought you'd be much fatter., i you much fatter much think
Are you bored?, you bore
I suggest you cooperate., i you suggest cooperate
I don't feel well today., i well today feel well no
That's what I'd want., that i want what
Can you pronounce these words?, you these word pronounce
She lived with him all her life., she her him all her life live with
Oregon is just south of Washington., oregon just south of just washington
I don't have the patience for this., i patience for this have no
I'll still be here tomorrow., i still here tomorrow
The word is not in my dictionary., word my my dictionary no
They were unimpressed., they unimpressed
It's a big hospital., it big big hospital
Don't hold it upside down., it upside down hold no
I won't let you die., i you let die no
My father is on the wagon., my father wagon
Do you want me to go home?, you me home want go home
I was horrified., i horrify horrify
Let's get started right away., 's right away let start right
Are they taking care of you?, they care you take
That boy looks like you., that boy that you look like
Did you shoot Tom?, you tom shoot
They love their kids., they their their kid love
Tom quit smoking., tom smoke quit
I know you feel lonely., i you lonely know feel
My father finally compromised., my father finally compromise
I think I agree., i i think agree
What happens after that?, that happen after what
Is there anything you don't know?, there you anything know know no
Let's never lose hope., 's hope let lose no
I'm really happy with your decision., i really happy with your really your decision
Let's walk a little faster., 's little little faster let walk
Tom is chubby., tom chubby chubby
All I want is money., all i want money want
Did you look under the car?, you car look under
Divide and conquer.,
This should become standard practice., this standard standard practice become
I think it's OK., i it ok think
We've met a few times before., we few few time before meet
You're acting weird., you weird weird act
Playing cards is a popular pastime., playing card popular popular pastime playing
Tom kissed Mary on the neck., tom mary neck kiss
I'm interested in mountain climbing., i interested in mountain climb
She knit him a sweater., she him sweater knit
Whose is this?, this whose
Do you have any pencils?, you any pencil have
I didn't really feel like going out., i really out feel like go out no
You're very upset., you very upset very
We gave up trying., we give up try
I'd like to sit further back., i further back like sit further
I guess this still belongs to you., i this still you guess belong to
What's the world's highest mountain?, world 's high mountain what
We've run out of ammunition., we ammunition run out
Tom and Mary fight all the time., tom and mary all time fight
I'm going to work., i go work
He hates air travel., he air travel hat
Who's that cute guy?, cute that cute guy who
I think Tom would be terrified., i tom think terrify
He tried to get up early., he early try get up
We stayed at our uncle's., we our our uncle 's stay at
"You were sleeping, weren't you?", you you sleep no
The server was down., server down
They looked relieved., they relieve look
Everyone is gone now., everyone now go now
I like walking., i walk
I'm just waiting for a call., i just call wait for
Can you climb up that tree?, you that tree climb up
What a thought!, what
I went fishing., i go fish
We haven't had much rain this year., we much much rain this year have no
What was the time of death?, time of death what
I saw a girl with long hair., i long girl with long hair saw
He wasn't even there., he even there no
I heard you got a new car., i you new new car hear get
The doors lock automatically., door automatically lock automatically
Look at the cat., cat look at
Let's not discuss the matter today., 's matter today let discuss no
She feels at ease in their home., she their ease their home feel at
I'm beginning to have doubts., i doubt begin have
I hate the sound of my voice., i my sound of my voice hate
They're going to find you., they you go find
Whose bike is this?, bike this whose
My daughter is fast asleep., my daughter fast asleep fast
The sun shines during the day., sun day shine during
Mum's the word., mum 's
Pick a number., number pick
Are you threatening me?, you me threaten
Please tell me you're joking., you me tell joke
I made a mistake., i mistake make
The tea is hot., tea hot
We walked among the trees., we tree walk among
This knife cuts well., this knife this well cut well
We lost everything in the flood., we everything flood lose
Do you have a timetable?, you timetable have
Supper is a simple meal., supper simple simple meal
She'll succeed for sure., she sure succeed for
I want you all to myself., i you all myself want
I'll try to fix it later., i it later try fix
I forgot I was in Australia., i i australia forget
What you need is a friend., you need friend need what
He has trouble waking up on time., he trouble wake time have wake up
You are entitled to your opinion., you your your opinion entitle to
I don't want to spoil the surprise., i surprise want spoil no
Look at that big hammer., big that big hammer look at
This decision is final., this decision final this
He promised to pay us high wages., he high us high wage promise pay
We'll do the same., we same same do
My car is a Toyota., my car toyota
You must be friendly with your neighbors., you friendly with your your neighbor
Where can you buy books?, you book buy where
I don't know how to thank you., i you know thank how no
Tom is taller than his mother., tom taller than his his mother
"Hey guys, it's getting late.", it guy late get late
Do you really think Tom is drunk?, you tom drunk really think
I don't want to be fired., i want fire no
What are you saving up for?, you save up what
Would you like to stay for dinner?, you dinner like stay for
He never loses his head., he his his head lose no
I need you to stay here., i you here need stay here
I'll pay for lunch., i lunch pay for
I think Tom only speaks French., i tom french only french think speak
I like to listen to classical music., i classical classical music like listen to
We've decided to adopt your idea., we your your idea decide adopt
I'm proud of you guys., i proud of you guy
She asked him questions., she him question ask
I'm trying to regain my balance., i my my balance try regain
It is no use giving her advice., it her no use give her advice give
You never asked what I wanted., you i ask want what no
Tom and John are brothers-in-law., tom and john brothers - in law
